Barcelona-Lisbon;1305.0;1305.0;1305.0;
Stockholm-Marseilles;3122.0;3122.0;3122.0;
Geneva-Gibraltar;2933.0;2933.0;0;
Munich-Paris;1048.0;1048.0;2187.0;
Cologne-Stockholm;3554.0;3554.0;4207.0;
Lyons-Geneva;158.0;158.0;158.0;
Lisbon-Madrid;3174.0;3174.0;3174.0;
Hook of Holland-Geneva;2526.0;2526.0;0;
Gibraltar-Athens;5000.0;5000.0;5000.0;
Athens-Munich;2589.0;2589.0;0;
Marseilles-Barcelona;2443.0;2443.0;2443.0;
Marseilles-Brussels;1011.0;1011.0;1011.0;
Munich-Madrid;3852.0;3852.0;0;
Athens-Vienna;1991.0;1991.0;3585.0;
Paris-Marseilles;1296.0;1296.0;1296.0;
Hook of Holland-Gibraltar;2998.0;2998.0;0;
Geneva-Gibraltar;2933.0;2933.0;0;
Barcelona-Brussels;1401.0;1401.0;1401.0;
Athens-Geneva;2023.0;2023.0;2023.0;
Barcelona-Hamburg;2067.0;2067.0;2067.0;
Rome-Munich;1772.0;1772.0;0;
Marseilles-Madrid;3934.0;3934.0;0;
Cherbourg-Brussels;1473.0;1473.0;1473.0;
Lisbon-Marseilles;1762.0;1762.0;4311.0;
Paris-Athens;2293.0;2293.0;2293.0;
Copenhagen-Paris;1176.0;1176.0;1176.0;
Rome-Geneva;1206.0;1206.0;1206.0;
Hook of Holland-Rome;1933.0;1933.0;1933.0;
Brussels-Stockholm;3457.0;3457.0;3457.0;
Milan-Brussels;925.0;925.0;4298.0;
Copenhagen-Paris;1176.0;1176.0;1176.0;
Madrid-Hook of Holland;1730.0;1730.0;1730.0;
Milan-Gibraltar;3181.0;3181.0;0;
