Athens;1.6094379425048828;1.6094379425048828;1.6094379425048828;1.6094379425048828;1.6094379425048828;1.6094379425048828;1.6094379425048828;1.6094379425048828;1.6094379425048828;1.6094379425048828;1.6094379425048828;1.6094379425048828;1.6094379425048828;1.6094379425048828;1.6094379425048828;1.6094379425048828;1.6094379425048828;1.6094379425048828;1.6094379425048828;1.6094379425048828;1.6094379425048828;1.6094379425048828;1.6094379425048828;1.6094379425048828;1.6094379425048828;1.6094379425048828;1.6094379425048828;1.6094379425048828;1.6094379425048828;1.6094379425048828;1.6094379425048828;1.6094379425048828;1.6094379425048828;1.6094379425048828;1.6094379425048828;
Barcelona;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;
Hook of Holland;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;
Munich;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;
Paris;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;
Vienna;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;
Calais;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;1.7917594909667969;
Cherbourg;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;
Gibraltar;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;
Lisbon;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;1.9459102153778076;
