Athens;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;
Calais;2.5649492740631104;2.5649492740631104;2.5649492740631104;2.5649492740631104;2.5649492740631104;2.5649492740631104;2.5649492740631104;2.5649492740631104;2.5649492740631104;2.5649492740631104;2.5649492740631104;2.5649492740631104;2.5649492740631104;2.5649492740631104;2.5649492740631104;2.5649492740631104;2.5649492740631104;2.5649492740631104;2.5649492740631104;2.5649492740631104;2.5649492740631104;2.5649492740631104;2.5649492740631104;2.5649492740631104;2.5649492740631104;2.5649492740631104;2.5649492740631104;2.5649492740631104;2.5649492740631104;2.5649492740631104;
Cherbourg;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;2.1972246170043945;
Cologne;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;
Geneva;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;
Gibraltar;2.70805025100708;2.70805025100708;2.70805025100708;2.70805025100708;2.70805025100708;2.70805025100708;2.70805025100708;2.70805025100708;2.70805025100708;2.70805025100708;2.70805025100708;2.70805025100708;2.70805025100708;2.70805025100708;2.70805025100708;2.70805025100708;2.70805025100708;2.70805025100708;2.70805025100708;2.70805025100708;2.70805025100708;2.70805025100708;2.70805025100708;2.70805025100708;2.70805025100708;2.70805025100708;2.70805025100708;2.70805025100708;2.70805025100708;2.70805025100708;
Hook of Holland;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;2.079441547393799;
Lisbon;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;2.4849066734313965;
Lyons;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;2.3025851249694824;
Marseilles;1.3862943649291992;1.3862943649291992;1.3862943649291992;1.3862943649291992;1.3862943649291992;1.3862943649291992;1.3862943649291992;1.3862943649291992;1.3862943649291992;1.3862943649291992;1.3862943649291992;1.3862943649291992;1.3862943649291992;1.3862943649291992;1.3862943649291992;1.3862943649291992;1.3862943649291992;1.3862943649291992;1.3862943649291992;1.3862943649291992;1.3862943649291992;1.3862943649291992;1.3862943649291992;1.3862943649291992;1.3862943649291992;1.3862943649291992;1.3862943649291992;1.3862943649291992;1.3862943649291992;1.3862943649291992;
