Athens;2.607235056973842e-10;2.607235056973842e-10;2.607235056973842e-10;2.607235056973842e-10;2.607235056973842e-10;2.607235056973842e-10;2.607235056973842e-10;2.607235056973842e-10;2.607235056973842e-10;2.607235056973842e-10;2.607235056973842e-10;2.607235056973842e-10;2.607235056973842e-10;2.607235056973842e-10;2.607235056973842e-10;2.607235056973842e-10;2.607235056973842e-10;2.607235056973842e-10;2.607235056973842e-10;2.607235056973842e-10;
Calais;6.150801255998037e-10;6.150801255998037e-10;6.150801255998037e-10;6.150801255998037e-10;6.150801255998037e-10;6.150801255998037e-10;6.150801255998037e-10;6.150801255998037e-10;6.150801255998037e-10;6.150801255998037e-10;6.150801255998037e-10;6.150801255998037e-10;6.150801255998037e-10;6.150801255998037e-10;6.150801255998037e-10;6.150801255998037e-10;6.150801255998037e-10;6.150801255998037e-10;6.150801255998037e-10;6.150801255998037e-10;
Cologne;2.174054195892318e-10;2.174054195892318e-10;2.174054195892318e-10;2.174054195892318e-10;2.174054195892318e-10;2.174054195892318e-10;2.174054195892318e-10;2.174054195892318e-10;2.174054195892318e-10;2.174054195892318e-10;2.174054195892318e-10;2.174054195892318e-10;2.174054195892318e-10;2.174054195892318e-10;2.174054195892318e-10;2.174054195892318e-10;2.174054195892318e-10;2.174054195892318e-10;2.174054195892318e-10;2.174054195892318e-10;
Copenhagen;3.486328514257003e-11;3.486328514257003e-11;3.486328514257003e-11;3.486328514257003e-11;3.486328514257003e-11;3.486328514257003e-11;3.486328514257003e-11;3.486328514257003e-11;3.486328514257003e-11;3.486328514257003e-11;3.486328514257003e-11;3.486328514257003e-11;3.486328514257003e-11;3.486328514257003e-11;3.486328514257003e-11;3.486328514257003e-11;3.486328514257003e-11;3.486328514257003e-11;3.486328514257003e-11;3.486328514257003e-11;
Gibraltar;2.136076980599279e-10;2.136076980599279e-10;2.136076980599279e-10;2.136076980599279e-10;2.136076980599279e-10;2.136076980599279e-10;2.136076980599279e-10;2.136076980599279e-10;2.136076980599279e-10;2.136076980599279e-10;2.136076980599279e-10;2.136076980599279e-10;2.136076980599279e-10;2.136076980599279e-10;2.136076980599279e-10;2.136076980599279e-10;2.136076980599279e-10;2.136076980599279e-10;2.136076980599279e-10;2.136076980599279e-10;
Hamburg;1.3465130255913525e-11;1.3465130255913525e-11;1.3465130255913525e-11;1.3465130255913525e-11;1.3465130255913525e-11;1.3465130255913525e-11;1.3465130255913525e-11;1.3465130255913525e-11;1.3465130255913525e-11;1.3465130255913525e-11;1.3465130255913525e-11;1.3465130255913525e-11;1.3465130255913525e-11;1.3465130255913525e-11;1.3465130255913525e-11;1.3465130255913525e-11;1.3465130255913525e-11;1.3465130255913525e-11;1.3465130255913525e-11;1.3465130255913525e-11;
Hook of Holland;3.212947394290125e-11;3.212947394290125e-11;3.212947394290125e-11;3.212947394290125e-11;3.212947394290125e-11;3.212947394290125e-11;3.212947394290125e-11;3.212947394290125e-11;3.212947394290125e-11;3.212947394290125e-11;3.212947394290125e-11;3.212947394290125e-11;3.212947394290125e-11;3.212947394290125e-11;3.212947394290125e-11;3.212947394290125e-11;3.212947394290125e-11;3.212947394290125e-11;3.212947394290125e-11;3.212947394290125e-11;
Madrid;1.5116357338018923e-10;1.5116357338018923e-10;1.5116357338018923e-10;1.5116357338018923e-10;1.5116357338018923e-10;1.5116357338018923e-10;1.5116357338018923e-10;1.5116357338018923e-10;1.5116357338018923e-10;1.5116357338018923e-10;1.5116357338018923e-10;1.5116357338018923e-10;1.5116357338018923e-10;1.5116357338018923e-10;1.5116357338018923e-10;1.5116357338018923e-10;1.5116357338018923e-10;1.5116357338018923e-10;1.5116357338018923e-10;1.5116357338018923e-10;
Marseilles;5.1114144871983874e-11;5.1114144871983874e-11;5.1114144871983874e-11;5.1114144871983874e-11;5.1114144871983874e-11;5.1114144871983874e-11;5.1114144871983874e-11;5.1114144871983874e-11;5.1114144871983874e-11;5.1114144871983874e-11;5.1114144871983874e-11;5.1114144871983874e-11;5.1114144871983874e-11;5.1114144871983874e-11;5.1114144871983874e-11;5.1114144871983874e-11;5.1114144871983874e-11;5.1114144871983874e-11;5.1114144871983874e-11;5.1114144871983874e-11;
Paris;1.394751718952452e-10;1.394751718952452e-10;1.394751718952452e-10;1.394751718952452e-10;1.394751718952452e-10;1.394751718952452e-10;1.394751718952452e-10;1.394751718952452e-10;1.394751718952452e-10;1.394751718952452e-10;1.394751718952452e-10;1.394751718952452e-10;1.394751718952452e-10;1.394751718952452e-10;1.394751718952452e-10;1.394751718952452e-10;1.394751718952452e-10;1.394751718952452e-10;1.394751718952452e-10;1.394751718952452e-10;
Vienna;1.714511080281927e-10;1.714511080281927e-10;1.714511080281927e-10;1.714511080281927e-10;1.714511080281927e-10;1.714511080281927e-10;1.714511080281927e-10;1.714511080281927e-10;1.714511080281927e-10;1.714511080281927e-10;1.714511080281927e-10;1.714511080281927e-10;1.714511080281927e-10;1.714511080281927e-10;1.714511080281927e-10;1.714511080281927e-10;1.714511080281927e-10;1.714511080281927e-10;1.714511080281927e-10;1.714511080281927e-10;
Barcelona;2.474917122813478e-10;2.474917122813478e-10;2.474917122813478e-10;2.474917122813478e-10;2.474917122813478e-10;2.474917122813478e-10;2.474917122813478e-10;2.474917122813478e-10;2.474917122813478e-10;2.474917122813478e-10;2.474917122813478e-10;2.474917122813478e-10;2.474917122813478e-10;2.474917122813478e-10;2.474917122813478e-10;2.474917122813478e-10;2.474917122813478e-10;2.474917122813478e-10;2.474917122813478e-10;2.474917122813478e-10;
