Activation;Loss;Ratio;MSE;d_time_mean;a_time_mean;o_time_mean;
logsigmoid;softmargin;15.0;33.666666666666664;1.804033915201823e-05;1.3536877102322049e-05;0.0017136467827690972;
elu;bcewithlogits;25.0;1763.4;3.636678059895833e-05;3.781318664550781e-05;0.002570660909016927;
tanh;hingeembedding;20.0;2696.9166666666665;2.8828779856363933e-05;2.3325284322102863e-05;0.002093017101287842;
rrelu;bcewithlogits;100.0;33026.45;4.1083494822184244e-05;4.051526387532552e-05;0.030583091576894126;
celu;mse;78.33333333333333;1509.7659574468084;3.4022838511365526e-05;3.415980237595579e-05;0.0021992287737257936;
selu;crossentropy;88.33333333333333;424.52830188679246;3.625761787846403e-05;3.6424061037459465e-05;0.0021758079528808594;
hardshrink;crossentropy;98.33333333333333;648.9322033898305;3.242088576494637e-05;3.669221522444386e-05;0.0020566067453158103;
softsign;smoothl1;71.66666666666667;1961.6511627906978;2.988549165947493e-05;3.198690192643986e-05;0.0034415888231854107;
selu;bcewithlogits;48.333333333333336;697.3448275862069;5.084070666082974e-05;4.798790504192484e-05;0.0030240601506726496;
hardtanh;l1;15.0;1853.0;2.9961268107096355e-05;3.555085923936632e-05;0.002041975657145182;
tanh;crossentropy;30.0;4367.277777777777;3.9431783888075086e-05;3.6438306172688804e-05;0.0031700266732109916;
elu;hingeembedding;20.0;3783.3333333333335;3.68952751159668e-05;3.860394159952799e-05;0.0026587645212809243;
selu;mse;75.0;1778.6;3.8316514756944444e-05;3.963046603732639e-05;0.0020892143249511717;
softplus;softmargin;18.333333333333332;1076.2727272727273;2.8025020252574574e-05;2.29965556751598e-05;0.001848979429765181;
hardshrink;smoothl1;31.666666666666664;4127.8421052631575;5.169918662623355e-05;3.494714435778166e-05;0.0029706453022203946;
silu;smoothl1;73.33333333333333;1278.2045454545455;2.9921531677246094e-05;4.202127456665039e-05;0.002810250629078258;
relu6;l1;45.0;2340.074074074074;3.3519886158130784e-05;3.2142356589988425e-05;0.0023068940197979964;
rrelu;hingeembedding;93.33333333333333;43534.96428571428;3.124134881155831e-05;3.481762749808175e-05;0.021548862968172346;
hardshrink;softmargin;21.666666666666668;1746.076923076923;4.3502220740685094e-05;3.3653699434720554e-05;0.001815649179311899;
hardswish;crossentropy;73.33333333333333;400.27272727272725;4.712018099698153e-05;3.3698298714377664e-05;0.0020636157556013627;
logsigmoid;bcewithlogits;13.333333333333334;301.0;2.7120113372802734e-05;1.6033649444580078e-05;0.0017777681350708008;
relu;crossentropy;98.33333333333333;373.3898305084746;3.6344689837956834e-05;3.609010728739076e-05;0.0021132897522489905;
silu;mse;93.33333333333333;943.3392857142857;3.8683414459228516e-05;3.9828675133841375e-05;0.0027438615049634662;
relu;bcewithlogits;48.333333333333336;2615.2413793103447;3.2951091897898705e-05;3.5129744431068156e-05;0.0028017964856377965;
softplus;smoothl1;21.666666666666668;780.6923076923077;2.459379342886118e-05;1.993546119103065e-05;0.0020131331223707935;
softshrink;l1;18.333333333333332;2530.090909090909;4.0726228193803266e-05;5.188855257901278e-05;0.002589095722545277;
relu6;softmargin;18.333333333333332;1357.1818181818182;3.3075159246271305e-05;3.905729814009233e-05;0.001621246337890625;
elu;softmargin;15.0;706.4444444444445;3.340509202745226e-05;3.253089057074653e-05;0.0024530887603759766;
relu;mse;78.33333333333333;920.4893617021277;3.058352368943235e-05;3.4448948312313e-05;0.0030147319144391;
hardsigmoid;mse;20.0;3839.5;4.251797993977865e-05;4.287560780843099e-05;0.0025623440742492676;
elu;crossentropy;91.66666666666666;426.8545454545455;3.0045075850053266e-05;3.219517794522372e-05;0.002209758758544922;
hardswish;softmargin;25.0;3235.0;3.3632914225260416e-05;3.1677881876627606e-05;0.003033288319905599;
hardsigmoid;smoothl1;15.0;2157.5555555555557;2.9325485229492188e-05;3.2901763916015625e-05;0.0019209120008680555;
hardsigmoid;bcewithlogits;13.333333333333334;1021.5;0.0001144111156463623;4.220008850097656e-05;0.0015150606632232666;
hardswish;bcewithlogits;50.0;1829.6;2.9269854227701823e-05;3.504753112792969e-05;0.002350028355916341;
hardswish;mse;81.66666666666667;1246.6122448979593;3.963100666902503e-05;3.894007935815928e-05;0.0025853283551274513;
sigmoid;softmargin;18.333333333333332;483.09090909090907;3.147125244140625e-05;2.9303810813210227e-05;0.0017494288357821379;
softshrink;bcewithlogits;36.666666666666664;3082.7272727272725;3.369288011030717e-05;4.197250713001598e-05;0.0028232661160555754;
softsign;huber;71.66666666666667;2195.232558139535;3.311245940452398e-05;3.466495247774346e-05;0.0036339926165203716;
tanh;huber;20.0;1543.6666666666667;2.936522165934245e-05;2.5033950805664062e-05;0.0015629927317301433;
rrelu;softmargin;5.0;3443.6666666666665;0.00012143452962239583;2.5431315104166668e-05;0.0023009777069091797;
tanhshrink;bcewithlogits;26.666666666666668;1232.0625;2.872943878173828e-05;2.193450927734375e-05;0.003213450312614441;
hardshrink;hingeembedding;6.666666666666667;1184.5;2.962350845336914e-05;3.17692756652832e-05;0.0018265843391418457;
elu;smoothl1;86.66666666666667;789.6730769230769;3.2901763916015625e-05;3.53547242971567e-05;0.00196768228824322;
silu;l1;66.66666666666666;821.075;2.9861927032470703e-05;3.306269645690918e-05;0.0021336019039154054;
mish;crossentropy;88.33333333333333;848.5471698113207;3.5402909764703714e-05;3.789505868587854e-05;0.0024412173145222215;
hardswish;huber;65.0;1026.820512820513;3.508421090932993e-05;4.490216573079427e-05;0.0026067220247708834;
softplus;crossentropy;98.33333333333333;633.3050847457627;3.2550197536662475e-05;4.153736567093154e-05;0.0020066075405832063;
softplus;hingeembedding;18.333333333333332;2353.909090909091;2.8957020152698863e-05;3.337860107421875e-05;0.0019440650939941406;
leakyrelu;softmargin;23.333333333333332;2676.8571428571427;3.620556422642299e-05;3.346375056675502e-05;0.002597076552254813;
relu;l1;33.33333333333333;2180.75;3.5762786865234375e-05;4.018545150756836e-05;0.0022477269172668456;
hardsigmoid;crossentropy;3.3333333333333335;2829.5;3.7789344787597656e-05;3.254413604736328e-05;0.0026339292526245117;
hardshrink;huber;38.333333333333336;2402.1304347826085;3.349262735118037e-05;3.9028084796407946e-05;0.0021866819132929263;
gelu;softmargin;18.333333333333332;4133.727272727273;2.7201392433860086e-05;3.0279159545898438e-05;0.00279888239773837;
tanh;softmargin;38.333333333333336;2778.0;3.640548042629076e-05;3.1948089599609375e-05;0.0024023367011028786;
silu;crossentropy;91.66666666666666;614.5636363636364;3.60748984596946e-05;3.7644126198508526e-05;0.002266159924593839;
softplus;bcewithlogits;21.666666666666668;666.3846153846154;3.7413377028245195e-05;3.3066822932316704e-05;0.0027070045471191406;
elu;l1;93.33333333333333;1041.232142857143;4.071848733084542e-05;4.01479857308524e-05;0.002533027103969029;
sigmoid;huber;8.333333333333332;668.8;4.215240478515625e-05;3.35693359375e-05;0.0021166324615478514;
tanhshrink;crossentropy;76.66666666666667;408.4347826086956;3.208803093951681e-05;3.290694692860479e-05;0.0020276048909062924;
hardtanh;huber;23.333333333333332;3298.0714285714284;3.2220567975725445e-05;3.474099295479911e-05;0.0021845102310180664;
softsign;hingeembedding;20.0;2862.9166666666665;3.824631373087565e-05;4.263718922932943e-05;0.003191192944844564;
softsign;mse;78.33333333333333;1459.1702127659576;3.4672148684237864e-05;3.715271645403923e-05;0.00323715108506223;
hardtanh;crossentropy;20.0;2380.0;3.912051518758138e-05;3.820657730102539e-05;0.002045293649037679;
mish;smoothl1;76.66666666666667;1001.3260869565217;4.3734260227369226e-05;3.853569860043733e-05;0.0028269083603568697;
softsign;l1;71.66666666666667;1645.5116279069769;3.0001928639966387e-05;2.664743467818859e-05;0.002963481947433117;
hardshrink;bcewithlogits;35.0;2854.3809523809523;2.742948986235119e-05;3.143719264439174e-05;0.0025540760585239957;
elu;mse;95.0;1893.9473684210527;4.1752530817399946e-05;3.654078433388158e-05;0.0025359915013898884;
celu;crossentropy;95.0;320.2456140350877;3.690050359357867e-05;3.867400319952714e-05;0.002085735923365543;
celu;bcewithlogits;11.666666666666666;36.0;2.602168491908482e-05;2.9189246041434152e-05;0.001804215567452567;
hardtanh;mse;16.666666666666664;1977.6;3.788471221923828e-05;3.54766845703125e-05;0.0019760608673095705;
hardshrink;mse;21.666666666666668;3154.846153846154;3.3250221839317907e-05;3.579946664663462e-05;0.0021106279813326322;
sigmoid;bcewithlogits;16.666666666666664;1822.4;3.125667572021484e-05;3.2329559326171874e-05;0.0018668174743652344;
tanhshrink;softmargin;36.666666666666664;1380.5454545454545;3.353032198819247e-05;3.186139193448153e-05;0.0029255910353227096;
softshrink;crossentropy;86.66666666666667;668.3846153846154;3.6666026482215297e-05;4.436419560359074e-05;0.0020430867488567647;
logsigmoid;huber;15.0;2038.111111111111;2.8477774726019965e-05;2.159012688530816e-05;0.003525257110595703;
mish;softmargin;18.333333333333332;2883.7272727272725;3.361701965332031e-05;2.9217113148082387e-05;0.002690423618663441;
logsigmoid;mse;23.333333333333332;1118.5714285714287;3.419603620256696e-05;2.9393604823521207e-05;0.003246528761727469;
silu;softmargin;25.0;2895.266666666667;3.0310948689778647e-05;2.662340799967448e-05;0.0022573947906494142;
celu;smoothl1;100.0;991.1166666666667;3.237326939900716e-05;3.6553541819254556e-05;0.0020687023798624674;
mish;bcewithlogits;63.33333333333333;2179.5789473684213;3.394955082943565e-05;3.4162872716000204e-05;0.002938339584752133;
celu;softmargin;26.666666666666668;2677.3125;2.944469451904297e-05;3.2573938369750977e-05;0.0024443864822387695;
selu;smoothl1;98.33333333333333;975.0677966101695;3.3495789867336465e-05;3.580723778676178e-05;0.0018117144956427105;
softshrink;smoothl1;86.66666666666667;1358.5576923076924;3.456610899705153e-05;4.076957702636719e-05;0.0024573527849637545;
gelu;bcewithlogits;31.666666666666664;587.0526315789474;3.820971438759252e-05;3.912574366519326e-05;0.0018528260682758532;
sigmoid;hingeembedding;13.333333333333334;3350.625;3.7670135498046875e-05;5.587935447692871e-05;0.0015699267387390137;
gelu;mse;83.33333333333334;857.72;3.4689903259277344e-05;3.631114959716797e-05;0.0020136404037475585;
leakyrelu;huber;76.66666666666667;1454.391304347826;3.4938687863557234e-05;3.549845322318699e-05;0.0027456853700720744;
hardsigmoid;softmargin;16.666666666666664;2598.8;3.4308433532714845e-05;6.458759307861328e-05;0.0020067453384399413;
softplus;mse;23.333333333333332;550.5714285714286;3.215244838169643e-05;2.888270786830357e-05;0.0018794877188546316;
hardtanh;bcewithlogits;16.666666666666664;2133.7;3.85284423828125e-05;4.324913024902344e-05;0.0019000768661499023;
hardswish;l1;68.33333333333333;1096.560975609756;3.900760557593369e-05;4.614271768709508e-05;0.0023434685497749144;
rrelu;huber;90.0;9302.314814814816;3.124607933892144e-05;3.786881764729818e-05;0.00783334838019477;
tanhshrink;hingeembedding;16.666666666666664;1090.4;3.910064697265625e-05;4.031658172607422e-05;0.001553487777709961;
leakyrelu;smoothl1;71.66666666666667;1116.4186046511627;3.758142160814862e-05;4.0076499761537066e-05;0.0025013712949531024;
celu;huber;91.66666666666666;1311.0363636363636;3.147125244140625e-05;3.383809869939631e-05;0.00211860483342951;
hardshrink;l1;18.333333333333332;3197.0;3.125450827858665e-05;2.5987625122070312e-05;0.002843098206953569;
selu;hingeembedding;20.0;3401.1666666666665;4.194180170694987e-05;3.790855407714844e-05;0.0023941993713378906;
softplus;l1;15.0;417.3333333333333;2.9669867621527777e-05;2.1007325914171008e-05;0.002435180875990126;
leakyrelu;bcewithlogits;28.333333333333332;1032.235294117647;3.3266404095818015e-05;3.2985911649816174e-05;0.0027015068951775044;
tanh;bcewithlogits;10.0;1465.3333333333333;3.449122111002604e-05;3.043810526529948e-05;0.0018619696299235027;
gelu;hingeembedding;20.0;4152.083333333333;2.8928120930989582e-05;2.8391679128011067e-05;0.0024588704109191895;
leakyrelu;hingeembedding;23.333333333333332;4136.0;4.2557716369628906e-05;3.898143768310547e-05;0.0028391054698399137;
sigmoid;l1;23.333333333333332;1548.0;2.9853412083217074e-05;2.4540083748953684e-05;0.0023431777954101562;
softplus;huber;21.666666666666668;522.0;4.1649891779972954e-05;4.0274399977463945e-05;0.0024651197286752555;
softshrink;mse;50.0;1510.2333333333333;3.866354624430338e-05;3.9354960123697916e-05;0.0022079070409138997;
silu;bcewithlogits;38.333333333333336;2634.086956521739;3.2704809437627375e-05;3.1699304995329484e-05;0.0034884058910867443;
softshrink;softmargin;18.333333333333332;1112.909090909091;3.543767062100497e-05;3.6716461181640625e-05;0.0028443119742653585;
relu6;huber;68.33333333333333;1624.0487804878048;3.722237377631955e-05;3.776317689476943e-05;0.002487909503099395;
tanhshrink;mse;48.333333333333336;1066.655172413793;3.370745428677263e-05;3.5417490992052805e-05;0.003600893349483095;
mish;huber;71.66666666666667;883.953488372093;3.4493069316065586e-05;3.371127816133721e-05;0.0022407465202863826;
selu;l1;90.0;1093.888888888889;3.134762799298322e-05;3.408944165265119e-05;0.0018172882221363209;
softshrink;huber;85.0;1785.3333333333333;4.1615729238472736e-05;4.718350429160922e-05;0.0022692446615181715;
logsigmoid;l1;31.666666666666664;2678.3684210526317;3.349153619063528e-05;2.914980838173314e-05;0.0023821780556126646;
silu;hingeembedding;11.666666666666666;4561.142857142857;3.296988351004464e-05;4.373277936662946e-05;0.0030359881264822824;
relu;huber;73.33333333333333;874.3863636363636;3.2045624472878195e-05;3.217025236649947e-05;0.0020218274810097432;
mish;l1;83.33333333333334;762.04;4.402637481689453e-05;3.94439697265625e-05;0.0021892023086547852;
sigmoid;smoothl1;11.666666666666666;2153.285714285714;2.6941299438476562e-05;2.636228288922991e-05;0.0017351082393101283;
selu;huber;96.66666666666667;1203.5;3.2149512192298624e-05;3.7892111416520747e-05;0.001983770008744865;
tanh;l1;13.333333333333334;2360.0;3.185868263244629e-05;2.8192996978759766e-05;0.002436399459838867;
leakyrelu;l1;41.66666666666667;2686.76;3.567695617675781e-05;3.8366317749023435e-05;0.0027130699157714845;
sigmoid;crossentropy;10.0;2200.8333333333335;6.111462910970052e-05;5.1299730936686196e-05;0.00202333927154541;
mish;hingeembedding;15.0;2474.0;5.756484137641059e-05;4.6941969129774305e-05;0.0016370349460177952;
relu6;crossentropy;76.66666666666667;1358.1304347826087;3.7747880686884343e-05;4.057262254797894e-05;0.0027948825255684233;
relu6;bcewithlogits;21.666666666666668;4262.307692307692;6.011816171499399e-05;3.62396240234375e-05;0.002260263149554913;
tanhshrink;smoothl1;31.666666666666664;493.57894736842104;3.521065962942023e-05;4.012961136667352e-05;0.002196838981226871;
hardtanh;hingeembedding;5.0;1074.3333333333333;4.00543212890625e-05;2.86102294921875e-05;0.002269109090169271;
elu;huber;88.33333333333333;1297.7169811320755;3.697287361576872e-05;4.084155244647332e-05;0.002175502057345408;
gelu;crossentropy;90.0;744.2592592592592;3.381128664369936e-05;3.685774626555266e-05;0.002130097813076443;
celu;hingeembedding;21.666666666666668;2920.3076923076924;6.604194641113281e-05;5.8302512535682093e-05;0.0020049351912278393;
hardswish;hingeembedding;15.0;3863.777777777778;3.287527296278212e-05;3.422631157769097e-05;0.002706660164727105;
tanhshrink;l1;23.333333333333332;969.4285714285714;3.170967102050781e-05;2.4369784763881137e-05;0.0031640359333583285;
gelu;l1;73.33333333333333;1302.3636363636363;3.170967102050781e-05;3.238699652931907e-05;0.0020672624761408024;
selu;softmargin;28.333333333333332;1981.8235294117646;3.97037057315602e-05;4.461232353659237e-05;0.0023332764120662913;
hardsigmoid;hingeembedding;13.333333333333334;3108.125;2.9146671295166016e-05;2.7060508728027344e-05;0.0016624033451080322;
relu6;hingeembedding;15.0;1586.3333333333333;4.249148898654514e-05;4.588233100043403e-05;0.0021630658043755423;
rrelu;crossentropy;88.33333333333333;453.24528301886795;3.479111869380159e-05;3.759366161418411e-05;0.001921073445733988;
leakyrelu;crossentropy;98.33333333333333;644.457627118644;3.831669435662738e-05;4.375587075443591e-05;0.0021464865086442335;
softsign;softmargin;11.666666666666666;1796.7142857142858;3.491129193987165e-05;3.6171504429408484e-05;0.002895832061767578;
silu;huber;60.0;1239.2222222222222;3.5557481977674695e-05;3.155734803941515e-05;0.002545005745357937;
relu6;smoothl1;78.33333333333333;1903.8085106382978;3.4662003212786734e-05;3.446416651948969e-05;0.002714958596736827;
hardsigmoid;huber;23.333333333333332;3100.3571428571427;3.637586321149554e-05;4.402228764125279e-05;0.0021655218941824777;
softsign;bcewithlogits;20.0;2355.4166666666665;3.435214360555013e-05;3.218650817871094e-05;0.0044600168863932295;
hardtanh;smoothl1;15.0;3100.4444444444443;3.4544203016493055e-05;3.9047665066189235e-05;0.0024015108744303384;
tanh;smoothl1;15.0;2679.1111111111113;2.834531995985243e-05;2.7815500895182293e-05;0.0022828314039442274;
