Activation;Loss;Ratio;MSE;d_time_mean;a_time_mean;o_time_mean;
softsign;crossentropy;45.0;932.074074074074;0.0018306573232014973;3.644272133156105e-05;0.003229812339500145;
gelu;huber;80.0;1658.375;3.9731462796529136e-05;3.555417060852051e-05;0.0029705017805099487;
rrelu;l1;86.66666666666667;3988.730769230769;3.031125435462365e-05;3.430935052724985e-05;0.0038729218336252067;
rrelu;mse;83.33333333333334;8525.94;3.619670867919922e-05;4.0459632873535154e-05;0.017735657691955568;
hardsigmoid;l1;20.0;2489.9166666666665;3.1054019927978516e-05;3.1888484954833984e-05;0.0017801721890767415;
gelu;smoothl1;71.66666666666667;1034.0;3.163759098496548e-05;3.600120544433594e-05;0.0022363496381183003;
hardtanh;softmargin;25.0;1987.8666666666666;3.77496083577474e-05;3.6271413167317707e-05;0.001990795135498047;
mish;mse;98.33333333333333;605.4067796610169;3.260677143678827e-05;3.9137015908451404e-05;0.0018899925684524794;
relu;smoothl1;66.66666666666666;729.05;3.170371055603027e-05;3.6644935607910154e-05;0.0026476919651031495;
celu;l1;90.0;998.9074074074074;3.157721625434028e-05;3.6102754098397714e-05;0.0020097185064245154;
logsigmoid;smoothl1;18.333333333333332;370.45454545454544;2.863190390846946e-05;2.184781161221591e-05;0.0022563717582009053;
softshrink;hingeembedding;8.333333333333332;4526.4;2.9039382934570312e-05;2.8371810913085938e-05;0.0020578861236572265;
leakyrelu;mse;41.66666666666667;1191.28;3.02886962890625e-05;3.215789794921875e-05;0.0023916816711425782;
logsigmoid;hingeembedding;18.333333333333332;3986.090909090909;5.3123994307084516e-05;5.704706365411932e-05;0.005418409000743519;
rrelu;smoothl1;95.0;5519.19298245614;3.58380769428454e-05;3.7076180441337716e-05;0.006715983675237288;
tanh;mse;15.0;1590.3333333333333;2.765655517578125e-05;3.6610497368706594e-05;0.001964198218451606;
relu6;mse;53.333333333333336;936.46875;3.104656934738159e-05;3.301352262496948e-05;0.002284891903400421;
relu;softmargin;15.0;1763.0;3.1418270534939235e-05;3.0305650499131945e-05;0.0021234088473849827;
hardswish;smoothl1;86.66666666666667;1146.3846153846155;3.331441145676833e-05;4.155819232647236e-05;0.002544884498302753;
logsigmoid;crossentropy;83.33333333333334;693.96;2.9654502868652343e-05;3.800868988037109e-05;0.0019318151473999023;
relu;hingeembedding;13.333333333333334;7518.25;3.2007694244384766e-05;2.7835369110107422e-05;0.004406273365020752;
sigmoid;mse;15.0;1838.888888888889;3.729926215277778e-05;3.3749474419487844e-05;0.0013002289666069879;
tanhshrink;huber;65.0;1151.128205128205;3.3867664826221953e-05;3.7217751527443914e-05;0.0031728194310114933;
