Activation;Loss;Ratio;Detour;Detour_Ratio;d_time_mean;a_time_mean;o_time_mean;
softsign;crossentropy;35.18518518518518;2209.0526315789475;6.6738750198759735;5.26528609426398e-05;0.0;0.0028184715070222553;
gelu;huber;27.77777777777778;4399.866666666667;1.8121361889071939;0.0;6.666183471679688e-05;0.0013725916544596354;
rrelu;l1;37.03703703703704;80479.15;33.146272652388795;4.9948692321777344e-05;4.9996376037597654e-05;0.10091118812561035;
rrelu;mse;57.407407407407405;38910.06451612903;16.025561991815913;3.227110831968246e-05;3.2255726475869454e-05;0.046863394398843086;
hardsigmoid;l1;16.666666666666664;2717.0;15.796511627906975;0.0001109970940483941;0.00011110305786132812;0.0009557406107584635;
gelu;smoothl1;25.925925925925924;4076.714285714286;1.6790421275594256;7.13552747453962e-05;7.142339433942522e-05;0.0023152828216552734;
hardtanh;softmargin;16.666666666666664;2717.0;15.796511627906975;0.0001109970940483941;0.00011110305786132812;0.00017688009474012587;
mish;mse;33.33333333333333;2698.1666666666665;2.4395720313441833;5.549854702419705e-05;5.555152893066406e-05;0.003037532170613607;
relu;smoothl1;16.666666666666664;5240.888888888889;15.833501174890902;0.0;0.0;0.004131317138671875;
celu;l1;40.74074074074074;4290.772727272727;3.8795413447312184;9.088082747025923e-05;9.090250188654119e-05;0.0034379959106445312;
logsigmoid;smoothl1;29.629629629629626;4078.0;23.709302325581394;0.0;0.0;0.0019785016775131226;
softshrink;hingeembedding;14.814814814814813;1907.75;0.7857289950576606;0.00012487173080444336;0.00012499094009399414;0.0026497840881347656;
leakyrelu;mse;25.925925925925924;3527.3571428571427;1.9661968466316293;0.0;7.142339433942522e-05;0.0019717897687639508;
rrelu;smoothl1;35.18518518518518;25350.263157894737;14.72140717647778;5.26528609426398e-05;0.00010525552850020559;0.038356015556737;
tanh;mse;12.962962962962962;4299.714285714285;2.451376445675191;0.0;0.0;0.0024934496198381695;
relu6;mse;38.88888888888889;2525.714285714286;14.6843853820598;0.0;0.0;0.00283292361668178;
relu;softmargin;27.77777777777778;4284.0;1.7644151565074135;0.00013327598571777344;0.00013332366943359376;0.0051283677419026695;
hardswish;smoothl1;12.962962962962962;1765.4285714285713;0.7271122617086373;0.0;0.0;0.0017540114266531809;
logsigmoid;crossentropy;14.814814814814813;6388.875;37.14462209302326;0.0;0.0;0.006007641553878784;
relu;hingeembedding;22.22222222222222;2450.9166666666665;14.249515503875969;8.324782053629558e-05;8.33272933959961e-05;0.0008768637975056967;
sigmoid;mse;16.666666666666664;5328.444444444444;30.979328165374675;0.0;0.0;0.0019463698069254558;
tanhshrink;huber;14.814814814814813;4883.625;14.754154078549849;0.0;0.0;0.0007645189762115479;
logsigmoid;softmargin;14.814814814814813;1850.625;5.591012084592145;0.00012487173080444336;0.0;0.002590864896774292;
elu;bcewithlogits;11.11111111111111;3970.8333333333335;2.213396506874768;0.0;0.0001666545867919922;0.0036166906356811523;
tanh;hingeembedding;11.11111111111111;615.6666666666666;0.3431809736157562;0.0;0.0;0.00042609373728434247;
rrelu;bcewithlogits;11.11111111111111;8033.333333333333;46.70542635658915;0.0;0.0;0.001396457354227702;
celu;mse;18.51851851851852;4257.3;2.4722996515679445;0.00010004043579101563;0.0;0.002076268196105957;
selu;crossentropy;22.22222222222222;4811.75;1.9817751235584844;0.0;0.0;0.002467950185139974;
hardshrink;crossentropy;18.51851851851852;2200.7;12.794767441860465;0.0;0.0;0.000864720344543457;
softsign;smoothl1;16.666666666666664;2276.3333333333335;6.877139979859013;0.0;0.0;0.0036647584703233507;
selu;bcewithlogits;29.629629629629626;3377.5;10.20392749244713;6.243586540222168e-05;6.249547004699707e-05;0.0024337470531463623;
hardtanh;l1;16.666666666666664;2717.0;15.796511627906975;0.0001109970940483941;0.00011110305786132812;0.0011461575826009114;
tanh;crossentropy;3.7037037037037033;0.0;0.0;0.0;0.0;0.0018050670623779297;
elu;hingeembedding;27.77777777777778;3934.0666666666666;1.6202910488742448;0.0;6.666183471679688e-05;0.0014436086018880208;
selu;mse;11.11111111111111;3394.5;1.9712543554006967;0.00016673405965169272;0.0;0.0027746756871541343;
softplus;softmargin;27.77777777777778;2184.866666666667;0.7358931177725385;6.667772928873698e-05;0.0;0.0031480948130289716;
hardshrink;smoothl1;24.074074074074073;4683.2307692307695;27.228085867620752;0.0;7.691750159630409e-05;0.0020541411179762622;
silu;smoothl1;20.37037037037037;1559.5454545454545;9.067124735729386;0.0;0.0;0.0028815269470214844;
relu6;l1;29.629629629629626;3507.3125;10.596110271903322;6.252527236938477e-05;6.249547004699707e-05;0.0024632662534713745;
rrelu;hingeembedding;100.0;39502.7037037037;16.26964732442492;5.5547113771791815e-05;5.555152893066406e-05;0.04519357504668059;
hardshrink;softmargin;18.51851851851852;1318.2;7.663953488372092;0.00010001659393310547;0.0;0.001107025146484375;
hardswish;crossentropy;27.77777777777778;3645.6;3.2962025316455694;0.0;0.0;0.0033635934193929034;
logsigmoid;bcewithlogits;12.962962962962962;2213.0;6.685800604229607;0.0;0.00014284678867885044;0.0;
relu;crossentropy;11.11111111111111;1415.8333333333333;1.2237107461826564;0.0;0.0001666545867919922;0.0007762114206949869;
silu;mse;11.11111111111111;2072.3333333333335;6.260825780463243;0.0;0.0;0.0031550327936808267;
relu;bcewithlogits;16.666666666666664;1992.0;11.58139534883721;0.0;0.00011110305786132812;0.0007784896426730686;
softplus;smoothl1;16.666666666666664;825.0;0.7130509939498704;0.00011112954881456163;0.00011110305786132812;0.003366019990709093;
softshrink;l1;40.74074074074074;5501.136363636364;3.073260538344337;9.093501351096414e-05;9.090250188654119e-05;0.008316180922768333;
relu6;softmargin;16.666666666666664;2717.0;15.796511627906975;0.0001109970940483941;0.00011110305786132812;0.0009029971228705512;
elu;softmargin;35.18518518518518;4379.421052631579;13.230879313086342;5.26528609426398e-05;5.2627764250102794e-05;0.0032168062109696237;
relu;mse;14.814814814814813;2872.0;1.1828665568369028;0.0;0.0;0.002697557210922241;
hardsigmoid;mse;16.666666666666664;2717.0;15.796511627906975;0.0001109970940483941;0.00011110305786132812;0.003668414221869575;
elu;crossentropy;22.22222222222222;3850.5833333333335;11.633182275931519;0.0;0.0;0.004113117853800456;
hardswish;softmargin;31.48148148148148;4920.588235294118;2.0266014148657816;5.883329054888557e-05;5.881926592658548e-05;0.003998489940867704;
hardsigmoid;smoothl1;16.666666666666664;2717.0;15.796511627906975;0.0001109970940483941;0.00011110305786132812;0.00022294786241319444;
hardsigmoid;bcewithlogits;16.666666666666664;2717.0;15.796511627906975;0.0001109970940483941;0.00011110305786132812;0.0;
hardswish;bcewithlogits;11.11111111111111;3117.1666666666665;1.2838412959912135;0.0;0.0001666545867919922;0.0019553502400716147;
hardswish;mse;25.925925925925924;3299.5714285714284;9.968493741907638;0.0;0.0;0.005484734262738909;
sigmoid;softmargin;40.74074074074074;7799.5;3.212314662273476;4.546208815141158e-05;9.090250188654119e-05;0.005337866869839755;
softshrink;bcewithlogits;11.11111111111111;763.8333333333334;0.4257710888145671;0.0;0.0001666545867919922;0.0009284019470214844;
softsign;huber;9.25925925925926;2280.8;0.9393739703459637;0.0;0.00019998550415039061;0.0025944232940673826;
tanh;huber;25.925925925925924;2978.1428571428573;8.997410444540353;7.13552747453962e-05;7.142339433942522e-05;0.0018204620906284877;
rrelu;softmargin;24.074074074074073;5077.307692307692;29.51923076923077;7.684414203350361e-05;7.691750159630409e-05;0.002279996871948242;
tanhshrink;bcewithlogits;22.22222222222222;1978.75;11.504360465116278;0.0;0.0;0.001434306303660075;
hardshrink;hingeembedding;33.33333333333333;4614.833333333333;1.9006727073036795;5.549854702419705e-05;0.00011110305786132812;0.0020369688669840493;
elu;smoothl1;20.37037037037037;2593.2727272727275;1.0680694922869554;9.094585071910511e-05;0.0;0.0006493004885586826;
silu;l1;20.37037037037037;1617.8181818181818;4.887668223015655;0.0;0.0;0.0;
mish;crossentropy;35.18518518518518;2390.5789473684213;0.984587704846961;5.26528609426398e-05;5.2627764250102794e-05;0.0007467144413998252;
hardswish;huber;24.074074074074073;2510.846153846154;1.0341211506779877;7.695418137770433e-05;7.691750159630409e-05;0.0026006331810584436;
softplus;crossentropy;35.18518518518518;4344.9473684210525;25.261321909424726;0.0;0.0;0.0025841060437654193;
softplus;hingeembedding;16.666666666666664;4879.777777777777;2.7820853921195994;0.0;0.0;0.0029344558715820312;
leakyrelu;softmargin;31.48148148148148;2446.8823529411766;1.3669733815313834;0.00011759645798627068;0.00011763853185317096;0.00256499122170841;
relu;l1;12.962962962962962;2879.0;1.6413911060433295;0.0;0.0;0.0019592557634626117;
hardsigmoid;crossentropy;16.666666666666664;2717.0;15.796511627906975;0.0001109970940483941;0.00011110305786132812;0.0;
hardshrink;huber;16.666666666666664;2489.3333333333335;1.0252608456891816;0.00011112954881456163;0.0;0.002393219206068251;
gelu;softmargin;20.37037037037037;2864.2727272727275;8.65339192529525;9.094585071910511e-05;0.0;0.00046216357838023794;
tanh;softmargin;12.962962962962962;2128.0;0.8764415156507414;0.0;0.0;0.004443713596888951;
silu;crossentropy;38.88888888888889;3806.7619047619046;22.132336655592468;4.7638302757626485e-05;9.523119245256697e-05;0.0029950255439394995;
softplus;bcewithlogits;24.074074074074073;3230.769230769231;9.760632117127585;0.0;0.0;0.0013225261981670673;
elu;l1;22.22222222222222;2940.0;1.676168757126568;0.0;8.33272933959961e-05;0.0019423762957255046;
sigmoid;huber;14.814814814814813;2963.125;1.22039744645799;0.0;0.00012499094009399414;0.002890288829803467;
tanhshrink;crossentropy;37.03703703703704;3106.45;1.2794275123558485;5.0020217895507815e-05;4.9996376037597654e-05;0.003585231304168701;
hardtanh;huber;16.666666666666664;2717.0;15.796511627906975;0.0001109970940483941;0.00011110305786132812;0.00038939052157931856;
softsign;hingeembedding;44.44444444444444;3572.0833333333335;1.9955772811918064;4.167358080546061e-05;4.166364669799805e-05;0.004483511050542195;
softsign;mse;18.51851851851852;1629.6;0.9463414634146341;0.0002000570297241211;0.0;0.0009820699691772462;
hardtanh;crossentropy;16.666666666666664;2717.0;15.796511627906975;0.0001109970940483941;0.00011110305786132812;0.0;
mish;smoothl1;18.51851851851852;4516.4;1.860131795716639;0.0;0.0;0.003316330909729004;
softsign;l1;27.77777777777778;5194.866666666667;2.1395661724327293;6.667772928873698e-05;0.00013332366943359376;0.005338795979817708;
hardshrink;bcewithlogits;11.11111111111111;2472.0;7.468277945619335;0.00016649564107259115;0.0001666545867919922;0.0;
elu;mse;14.814814814814813;1903.0;5.7492447129909365;0.0;0.00012499094009399414;0.0012707114219665527;
celu;crossentropy;9.25925925925926;2723.4;0.865120711562897;0.0;0.00019998550415039061;0.002628517150878906;
celu;bcewithlogits;31.48148148148148;3965.4117647058824;3.585363259227742;0.00011761048260857078;5.881926592658548e-05;0.002827041289385627;
hardtanh;mse;16.666666666666664;2717.0;15.796511627906975;0.0001109970940483941;0.00011110305786132812;0.00034308433532714844;
hardshrink;mse;27.77777777777778;4295.2;12.97643504531722;0.0;0.0;0.0036783536275227864;
