Activation;Loss;Ratio;Detour;Detour_Ratio;d_time_mean;a_time_mean;o_time_mean;
sigmoid;bcewithlogits;27.77777777777778;2501.6666666666665;7.557905337361531;6.667772928873698e-05;6.666183471679688e-05;0.0025040308634440103;
tanhshrink;softmargin;25.925925925925924;2448.785714285714;14.237126245847177;0.0;0.0;0.002621701785496303;
softshrink;crossentropy;12.962962962962962;1471.2857142857142;8.553986710963455;0.0;0.00014284678867885044;0.00147247314453125;
logsigmoid;huber;27.77777777777778;1572.6666666666667;4.7512588116817716;6.659825642903645e-05;6.666183471679688e-05;0.0011428991953531902;
mish;softmargin;14.814814814814813;2313.0;6.9879154078549846;0.00012505054473876953;0.0;0.001283407211303711;
logsigmoid;mse;11.11111111111111;2481.8333333333335;1.4412504839334108;0.00016673405965169272;0.0001666545867919922;0.0008437633514404297;
silu;softmargin;22.22222222222222;2197.25;1.252708095781072;0.0;0.0;0.002187808354695638;
celu;smoothl1;22.22222222222222;1827.3333333333333;5.520644511581068;8.324782053629558e-05;8.33272933959961e-05;0.0005145072937011719;
mish;bcewithlogits;29.629629629629626;3334.75;1.9365563298490127;6.252527236938477e-05;0.0;0.0020436495542526245;
celu;softmargin;9.25925925925926;2415.6;1.377194982896237;0.0;0.0;0.004479312896728515;
selu;smoothl1;14.814814814814813;673.625;2.0351208459214503;0.00012502074241638184;0.0;0.0023703575134277344;
softshrink;smoothl1;16.666666666666664;2504.3333333333335;1.0314387699066447;0.0;0.0;0.0021042293972439235;
gelu;bcewithlogits;5.555555555555555;1683.6666666666667;0.8537863421230562;0.0;0.0;0.0;
sigmoid;hingeembedding;20.37037037037037;3224.2727272727275;9.741005218346608;0.0;9.090250188654119e-05;0.0016003088517622514;
gelu;mse;12.962962962962962;2857.8571428571427;1.6596150655384105;0.0002856254577636719;0.0;0.004140411104474749;
leakyrelu;huber;35.18518518518518;1801.3157894736842;0.7418928292725223;5.257757086502878e-05;0.00010525552850020559;0.0033571594639828332;
hardsigmoid;softmargin;16.666666666666664;2717.0;15.796511627906975;0.0001109970940483941;0.00011110305786132812;0.00028700298733181425;
softplus;mse;22.22222222222222;3828.75;22.26017441860465;0.0;0.0;0.0016186038653055828;
hardtanh;bcewithlogits;16.666666666666664;2717.0;15.796511627906975;0.0001109970940483941;0.00011110305786132812;0.001241763432820638;
hardswish;l1;35.18518518518518;2503.5789473684213;14.555691554467563;0.00015787074440403988;5.2627764250102794e-05;0.0020313513906378496;
rrelu;huber;12.962962962962962;7067.714285714285;4.029483629255579;0.0;0.0;0.01293281146458217;
tanhshrink;hingeembedding;5.555555555555555;340.6666666666667;0.1727518593644354;0.0;0.0;0.0;
leakyrelu;smoothl1;46.2962962962963;4169.24;12.595891238670696;0.0;3.999710083007812e-05;0.0027883625030517578;
celu;huber;20.37037037037037;3204.0;18.627906976744185;0.0001817399805242365;9.090250188654119e-05;0.0017219890247691762;
hardshrink;l1;35.18518518518518;4703.0;2.6273743016759776;5.26403125963713e-05;0.00010525552850020559;0.0038547013935289883;
selu;hingeembedding;14.814814814814813;2920.125;1.6648375142531358;0.0;0.0;0.0014548301696777344;
softplus;l1;16.666666666666664;3636.4444444444443;3.2879244524814144;0.0;0.0;0.0006802876790364584;
leakyrelu;bcewithlogits;9.25925925925926;1474.8;4.455589123867069;0.00020003318786621094;0.0;0.003180122375488281;
tanh;bcewithlogits;31.48148148148148;3804.235294117647;11.493157988270838;0.00011761048260857078;0.00011763853185317096;0.002387860242058249;
gelu;hingeembedding;16.666666666666664;1414.3333333333333;4.272910372608258;0.00011115603976779514;0.00011110305786132812;0.0005562305450439453;
leakyrelu;hingeembedding;12.962962962962962;5699.285714285715;4.925916779849365;0.0;0.0;0.006761857441493443;
sigmoid;l1;7.4074074074074066;666.0;0.3712374581939799;0.0;0.0002499818801879883;0.0;
softplus;huber;25.925925925925924;3282.5714285714284;1.3519651682748883;7.145745413643973e-05;0.0;0.03056347370147705;
softshrink;mse;24.074074074074073;3541.3076923076924;20.588998211091237;0.0;0.0;0.004565202272855318;
silu;bcewithlogits;22.22222222222222;2842.1666666666665;1.1705793520043932;8.334716161092122e-05;0.0;0.0035322904586791992;
softshrink;softmargin;18.51851851851852;2690.5;9.440350877192982;0.0;0.0;0.0012755155563354491;
relu6;huber;27.77777777777778;4699.866666666667;14.198992950654581;6.667772928873698e-05;0.00013332366943359376;0.004634920756022135;
tanhshrink;mse;1.8518518518518516;295.0;0.17580452920143028;0.0;0.0;0.0;
mish;huber;29.629629629629626;2973.5625;1.224696252059308;6.251037120819092e-05;6.249547004699707e-05;0.0018642246723175049;
selu;l1;31.48148148148148;5162.470588235294;30.01436388508892;0.0;5.881926592658548e-05;0.0026140773997587316;
softshrink;huber;35.18518518518518;2317.157894736842;0.9543483915720108;0.0;0.0;0.0015462197755512438;
logsigmoid;l1;18.51851851851852;2105.7;1.1737458193979933;0.0;0.0;0.0017147541046142578;
silu;hingeembedding;12.962962962962962;4381.0;13.235649546827796;0.0;0.0;0.0024342196328299387;
relu;huber;16.666666666666664;2342.4444444444443;0.9647629507596558;0.0;0.00011110305786132812;0.0029122564527723524;
mish;l1;9.25925925925926;3577.4;1.3264367816091953;0.00019979476928710938;0.00019998550415039061;0.002692127227783203;
sigmoid;smoothl1;16.666666666666664;2109.3333333333335;1.175771088814567;0.00011112954881456163;0.0;0.0013991461859809028;
selu;huber;14.814814814814813;2525.625;1.4666811846689896;0.00012505054473876953;0.00012499094009399414;0.001008361577987671;
tanh;l1;14.814814814814813;2841.625;1.1703562602965403;0.0;0.00012499094009399414;0.0007280111312866211;
leakyrelu;l1;22.22222222222222;2856.0833333333335;16.60513565891473;0.0;0.0;0.0021216670672098794;
sigmoid;crossentropy;18.51851851851852;2205.4;12.822093023255814;0.0;0.0;0.0010646581649780273;
mish;hingeembedding;22.22222222222222;2949.0833333333335;1.2146142229544206;0.0;8.33272933959961e-05;0.002819796403249105;
relu6;crossentropy;20.37037037037037;2380.2727272727275;13.838794926004228;9.081580422141336e-05;9.090250188654119e-05;0.0002786462957208807;
relu6;bcewithlogits;22.22222222222222;2937.5833333333335;17.078972868217054;8.324782053629558e-05;8.33272933959961e-05;0.002062936623891195;
tanhshrink;smoothl1;25.925925925925924;1695.142857142857;5.121277514026759;7.144042423793248e-05;0.00014284678867885044;0.0006062984466552734;
hardtanh;hingeembedding;16.666666666666664;2717.0;15.796511627906975;0.0001109970940483941;0.00011110305786132812;0.0;
elu;huber;29.629629629629626;1911.75;11.11482558139535;6.252527236938477e-05;6.249547004699707e-05;0.001995980739593506;
gelu;crossentropy;27.77777777777778;4070.733333333333;12.29828801611279;6.667772928873698e-05;6.666183471679688e-05;0.0021541436513264974;
celu;hingeembedding;14.814814814814813;5353.375;16.173338368580062;0.0;0.0;0.0022699832916259766;
hardswish;hingeembedding;24.074074074074073;2594.923076923077;15.086762075134168;0.0;0.0;0.001790615228506235;
tanhshrink;l1;25.925925925925924;2248.0;2.0325497287522603;0.0;7.142339433942522e-05;0.0016198328563145228;
gelu;l1;7.4074074074074066;2774.75;9.735964912280702;0.0;0.0;0.0031697750091552734;
selu;softmargin;12.962962962962962;1602.142857142857;9.314784053156146;0.0;0.0;0.0017897401537214006;
hardsigmoid;hingeembedding;16.666666666666664;2717.0;15.796511627906975;0.0001109970940483941;0.00011110305786132812;0.0;
relu6;hingeembedding;20.37037037037037;3233.0;18.796511627906977;0.0;9.090250188654119e-05;0.001038096167824485;
rrelu;crossentropy;79.62962962962963;86590.37209302325;35.663250450174324;4.652489063351653e-05;4.6508256779160613e-05;0.14730008812837822;
leakyrelu;crossentropy;18.51851851851852;697.8;2.108157099697885;0.00019993782043457032;0.0;0.0013265609741210938;
softsign;softmargin;29.629629629629626;2743.875;1.130096787479407;0.0;6.249547004699707e-05;0.006884589791297913;
silu;huber;9.25925925925926;919.8;0.5244013683010262;0.0;0.0;0.00021748542785644532;
relu6;smoothl1;48.148148148148145;1982.923076923077;0.8166898998859461;3.8477090688852164e-05;0.0;0.0032538175582885742;
hardsigmoid;huber;16.666666666666664;2717.0;15.796511627906975;0.0001109970940483941;0.00011110305786132812;0.0012225045098198785;
softsign;bcewithlogits;12.962962962962962;1047.2857142857142;3.1640051791109194;0.0;0.00014284678867885044;0.0014818736485072545;
hardtanh;smoothl1;16.666666666666664;2717.0;15.796511627906975;0.0001109970940483941;0.00011110305786132812;0.0;
tanh;smoothl1;16.666666666666664;1826.7777777777778;0.7523796448837635;0.0;0.00011110305786132812;0.0003814432356092665;
