Activation;Loss;Ratio;MSE;d_time_mean;a_time_mean;o_time_mean;
mish;mse;5.0;21017.666666666668;0.00037479400634765625;0.0006359418233235677;0.0067713260650634766;
logsigmoid;softmargin;20.0;8239.916666666666;0.0004705190658569336;0.0004546642303466797;0.004848798116048177;
selu;crossentropy;83.33333333333334;641.88;0.00040828704833984375;0.0007026195526123047;0.005844016075134278;
hardshrink;crossentropy;65.0;486.12820512820514;0.00045479872287848056;0.0008192245776836688;0.005030515866401868;
relu;crossentropy;76.66666666666667;531.0217391304348;0.0003826773684957753;0.0006091491035793139;0.005020442216292671;
silu;mse;13.333333333333334;16498.25;0.0003749728202819824;0.0006467998027801514;0.0036548376083374023;
elu;crossentropy;88.33333333333333;384.75471698113205;0.0004751997173957105;0.0008312576221969892;0.004916573470493533;
softplus;crossentropy;83.33333333333334;462.08;0.00040200233459472654;0.0006576728820800781;0.00459169864654541;
silu;crossentropy;83.33333333333334;651.4;0.00041900634765625;0.0007422018051147461;0.005406088829040527;
elu;l1;18.333333333333332;14985.454545454546;0.00035845149647105825;0.0006093545393510299;0.00425941293889826;
celu;crossentropy;76.66666666666667;651.6304347826087;0.00044287287670633066;0.0008076222046561863;0.005299630372420601;
celu;bcewithlogits;3.3333333333333335;50860.5;0.0005364418029785156;0.0010933876037597656;0.008865594863891602;
celu;smoothl1;5.0;15056.666666666666;0.000463406244913737;0.0007394154866536459;0.0034577051798502603;
selu;smoothl1;25.0;31302.2;0.00042395591735839845;0.000720357894897461;0.005031267801920573;
selu;huber;10.0;11840.333333333334;0.00047004222869873047;0.0008472601572672526;0.0022222201029459634;
rrelu;crossentropy;73.33333333333333;640.9090909090909;0.0004668073220686479;0.0007766322656111283;0.0063981468027288265;
leakyrelu;crossentropy;73.33333333333333;336.8181818181818;0.0004243146289478649;0.0008072636344216087;0.005115395242517645;
